mlbam_id,mlb_played_first
650530,2019.0
596133,2016.0
600921,2017.0
678394,2022.0
663558,2021.0
592761,2017.0
676282,2024.0
676760,2022.0
622554,2018.0
649144,2021.0
642547,2018.0
670329,2019.0
678606,2023.0
695418,2025.0
663773,2022.0
669212,2021.0
686752,2022.0
676879,2021.0
663567,2019.0
605483,2016.0
806960,2025.0
669060,2018.0
664141,2020.0
670102,2022.0
681343,2025.0
672282,2021.0
592314,2014.0
572193,2015.0
669199,2024.0
621366,2018.0
621107,2016.0
596057,2014.0
663485,2022.0
607644,2018.0
663372,2021.0
628711,2016.0
664299,2020.0
608665,2014.0
573009,2016.0
608717,2016.0
667755,2023.0
607536,2017.0
667463,2020.0
676051,2020.0
594902,2017.0
666201,2021.0
642207,2019.0
694813,2023.0
656420,2020.0
663158,2022.0
677955,2024.0
702352,2024.0
666374,2022.0
600917,2016.0
656731,2021.0
674003,2023.0
700241,2024.0
656212,2021.0
642232,2018.0
519151,2013.0
621368,2019.0
656641,2021.0
665795,2021.0
677651,2020.0
680573,2022.0
681857,2023.0
489446,2014.0
666154,2023.0
502171,2011.0
608372,2025.0
806185,2024.0
622491,2017.0
647336,2018.0
453562,2010.0
570663,2015.0
643410,2017.0
682610,2024.0
694851,2025.0
607067,2015.0
666142,2022.0
656849,2020.0
571927,2015.0
518774,2012.0
621389,2016.0
643230,2016.0
642048,2021.0
642121,2019.0
572070,2011.0
666200,2019.0
533167,2013.0
658648,2019.0
676440,2023.0
641302,2019.0
474463,2009.0
592836,2013.0
701487,2025.0
621111,2017.0
547942,2020.0
702056,2025.0
656240,2020.0
686826,2023.0
661563,2021.0
573186,2014.0
666120,2020.0
695549,2024.0
666974,2022.0
502043,2013.0
605397,2016.0
571670,2016.0
682274,2025.0
642701,2018.0
606424,2017.0
669062,2024.0
657649,2022.0
623211,2022.0
501381,2011.0
543135,2011.0
669424,2020.0
666159,2021.0
680880,2024.0
680885,2024.0
641816,2017.0
594798,2014.0
682051,2022.0
676477,2021.0
543294,2014.0
621295,2016.0
650893,2019.0
593423,2015.0
670174,2022.0
669022,2022.0
571945,2012.0
677161,2022.0
666205,2021.0
641729,2017.0
700363,2023.0
641927,2021.0
592791,2016.0
669920,2022.0
669456,2018.0
677960,2021.0
657514,2022.0
502327,2011.0
663436,2022.0
500610,2015.0
689672,2024.0
686563,2024.0
598287,2015.0
657024,2019.0
657746,2021.0
641712,2018.0
657277,2019.0
663947,2022.0
472610,2013.0
592866,2016.0
668881,2022.0
606160,2014.0
660365,2021.0
694738,2024.0
683769,2022.0
527048,2012.0
672582,2021.0
592789,2015.0
622098,2018.0
605200,2015.0
815083,2025.0
605452,2015.0
543243,2013.0
622766,2017.0
686613,2022.0
666157,2022.0
571800,2012.0
650633,2019.0
598286,2019.0
605359,2014.0
592332,2013.0
669438,2023.0
680570,2023.0
617228,2021.0
446372,2011.0
701581,2024.0
622072,2013.0
669711,2022.0
687064,2025.0
808967,2024.0
595881,2018.0
656794,2017.0
642629,2024.0
694350,2024.0
656302,2019.0
519242,2010.0
621383,2022.0
641745,2018.0
461325,2007.0
665622,2023.0
669432,2020.0
676664,2022.0
621249,2018.0
676106,2023.0
656657,2022.0
571656,2014.0
801403,2025.0
614179,2017.0
679358,2024.0
592454,2014.0
453178,2007.0
453284,2012.0
663804,2021.0
702070,2025.0
669169,2021.0
656756,2017.0
645261,2017.0
694462,2024.0
592826,2015.0
665665,2021.0
680689,2023.0
596071,2017.0
669854,2022.0
642152,2018.0
686218,2023.0
518516,2009.0
641540,2020.0
681517,2023.0
681347,2024.0
669276,2021.0
678020,2024.0
434671,2006.0
640451,2019.0
672710,2021.0
669084,2022.0
554430,2013.0
641582,2020.0
674370,2023.0
641703,2021.0
669461,2022.0
518617,2012.0
543037,2013.0
623437,2020.0
548389,2016.0
605164,2012.0
656354,2018.0
548384,2012.0
455119,2014.0
572403,2014.0
672851,2021.0
621219,2016.0
687377,2024.0
592773,2017.0
608379,2013.0
690986,2023.0
621244,2016.0
663855,2018.0
433589,2006.0
663986,2021.0
570488,2019.0
608331,2017.0
671922,2024.0
668964,2024.0
642092,2020.0
656186,2016.0
664199,2019.0
701542,2024.0
571710,2015.0
663460,2020.0
661527,2021.0
663776,2019.0
605488,2018.0
615698,2019.0
570257,2016.0
667376,2021.0
608716,2017.0
608344,2019.0
666721,2022.0
672456,2024.0
605135,2014.0
450203,2008.0
608650,2017.0
642758,2021.0
622663,2015.0
683409,2024.0
656578,2021.0
571901,2012.0
663554,2020.0
572020,2013.0
684320,2024.0
547973,2010.0
676083,2021.0
641672,2020.0
425844,2004.0
453265,2011.0
694477,2025.0
622253,2019.0
623167,2017.0
608334,2016.0
640455,2016.0
606965,2016.0
663531,2019.0
700249,2024.0
682847,2022.0
642528,2018.0
458681,2011.0
622065,2019.0
676428,2024.0
656954,2018.0
641585,2023.0
686799,2024.0
543606,2012.0
571735,2013.0
663556,2021.0
628317,2016.0
666129,2020.0
605242,2016.0
696149,2025.0
669211,2020.0
680684,2025.0
668678,2019.0
804636,2025.0
676974,2022.0
687473,2025.0
663903,2020.0
681293,2024.0
593833,2018.0
518876,2019.0
680732,2024.0
683003,2024.0
656605,2019.0
547943,2013.0
701656,2025.0
643377,2021.0
656629,2018.0
642203,2020.0
685126,2024.0
